,Actual MA Elec,Forecast MA Elec,Delta actual,Delta fcast
01/07/2018,52.95,,,
02/07/2018,55,,,
03/07/2018,55.3,,,
04/07/2018,55.405,,,
05/07/2018,55.64,,,
06/07/2018,55.7,,,
07/07/2018,55.7,,,
08/07/2018,55.7,,,
09/07/2018,56.6359091,,,
10/07/2018,57.4,,,
11/07/2018,56.29,,,
12/07/2018,55.8073499,,,
13/07/2018,55.85,,,
14/07/2018,55.85,,,
15/07/2018,55.85,,,
16/07/2018,55.49,,,
17/07/2018,55.3,,,
18/07/2018,56.64,,,
19/07/2018,56.75,,,
20/07/2018,56.4,,,
23/07/2018,56.7653846,,,
24/07/2018,56.9642857,,,
25/07/2018,57.45,,,
26/07/2018,57.0366667,,,
30/07/2018,56.85,54.3190155,0.5593023,
31/07/2018,57.4093023,54.00167084,-0.0593023,-0.31734466
01/08/2018,57.35,54.93254852,1.3092,0.93087768
02/08/2018,58.6592,54.05239487,-0.1967,-0.88015365
03/08/2018,58.4625,55.32592773,0.4830357,1.273532864
06/08/2018,58.9455357,55.76008224,,
07/08/2018,59.55,55.17410278,0.145,-0.58597946
08/08/2018,59.695,57.14854813,0.105,1.97444535
09/08/2018,59.8,56.99103546,0.2,-0.15751267
10/08/2018,60,56.74313354,-0.05,-0.24790192
11/08/2018,59.95,57.23534775,0,0.49221421
13/08/2018,59.95,57.37080002,,
2018-08-14,60.8694915,58.29744338989258,0.9194914999999995,0.1354522699999947
2018-08-15,61.8185714,58.77079772949219,0.949079900000001,0.9266433698925809
2018-08-15,61.8185714,59.65985870361328,0.0,0.4733543395996094
2018-08-16,61.0766667,58.5931396484375,-0.7419047000000063,0.8890609741210938
2018-08-17,62.02,60.257484436035156,0.943333299999999,-1.0667190551757812
2018-08-20,62.35,59.84721755981445,0.3299999999999983,1.6643447875976562
2018-08-21,62.,59.235721588134766,-0.3500000000000014,-0.4102668762207031
