,WeatherHigh_D,WeatherLow_D,WeatherHigh_D+1,WeatherLow_D+1,Av Demand D,Peak Demand D,Av Demand D+1,Peak Demand D+1,Av Offshore Wind D,Peak Offshore Wind D,Av Onshore Wind D,Peak Onshore Wind D,Av Solar D,Peak Solar D,GBPEUR rate,GBBUSD rate,DA NBP,MA NBP,DA Elec,MA Elec
2018-07-01,31.66666667,15,30,18.33333333,23084.54167,28499,26619.52083,31852,3296.307667,3981.381,3264.586875,3938.897,2836.625,7413,1.1309,1.3209,53.2385965,56.3389163,52,52.95
2018-07-02,30,18.33333333,27.22222222,15,26619.52083,31852,26759.8125,31542,1612.369313,2577.498,1851.717875,2024.214,3073.416667,8700,1.1292,1.3143,53.2385965,56.3389163,52,52.95
2018-07-03,27.22222222,15,26.66666667,13.88888889,26759.8125,31542,27912.52083,32575,1931.733042,2710.963,1878.056792,2548.909,3023.270833,7691,1.1318,1.3193,54.3339416,56.3389163,53.7933333,55
2018-07-04,26.66666667,13.88888889,30,16.66666667,27912.52083,32575,27908.39583,32121,570.1995833,1534.571,1014.136167,1863.739,2192.458333,5632,1.1352,1.3233,56.3987288,57.5669565,58.336,55.3
2018-07-05,30,16.66666667,30.55555556,16.11111111,27908.39583,32121,27484.02083,31800,409.9959583,809.59,1611.053,2197.588,2705.333333,7178,1.1314,1.3227,56.5528261,57.3560651,57.4541667,55.405
2018-07-06,30.55555556,16.11111111,31.11111111,18.33333333,27484.02083,31800,24608.25,28356,243.053,399.177,859.5159583,1182.781,2827.395833,7601,1.131,1.3285,56.094697,57.9829819,56.5,55.64
2018-07-07,31.11111111,18.33333333,30.55555556,17.22222222,24608.25,28356,23621,28649,440.4562083,814.119,835.4930833,1276.763,2961.333333,7818,1.131,1.3285,57.4977107,57.9333333,56.5,55.7
2018-07-08,30.55555556,17.22222222,30,17.77777778,23621,28649,28280.79167,32960,221.548125,441.065,1326.343125,1852.492,2829.5625,7442,1.1313,1.3295,57.4977107,57.9333333,56.5,55.7
2018-07-09,30,17.77777778,22.77777778,15,28280.79167,32960,27920.20833,32803,988.1311667,1945.7,1549.949875,2375.006,2407.708333,6123,1.1283,1.3259,57.4977107,57.9333333,56.5,55.7
2018-07-10,22.77777778,15,23.88888889,13.88888889,27920.20833,32803,28295.02083,32966,2141.5915,2382.095,1334.036292,1601.393,2205.833333,6046,1.1304,1.3276,59.3268293,58.4575444,57.15,56.6359091
2018-07-11,23.88888889,13.88888889,25,13.33333333,28295.02083,32966,28489,32575,828.0888958,1610.505,639.8884583,818.499,2106.958333,6180,1.1312,1.3205,59.549812,59.4895161,58.25,57.4
